category,sub_category,product_name,manufacturer,customer_name,city,state,region,country,postal_code,order_id,order_date,ship_date,ship_mode,sales,quantity,discount,profit,profit_ratio
Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,O'Sullivan,Toby Swindell,Scottsdale,Arizona,West,United States,85254,CA-2011-146591,2013-01-19,2013-01-20,First Class,181.0,5,0.7,-321.0,-1.77
Technology,Phones,Apple iPhone 5C,Apple,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,700.0,7,0.0,182.0,0.26
Office Supplies,Art,Newell 351,Newell,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,23.0,7,0.0,7.0,0.29
Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Eldon,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,39.0,4,0.0,12.0,0.3
Office Supplies,Art,Newell 327,Newell,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,7.0,3,0.0,2.0,0.27
Office Supplies,Envelopes,Staple envelope,Staple envelope,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,23.0,3,0.0,11.0,0.47
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Hon,Hunter Lopez,Jonesboro,Arkansas,South,United States,72401,US-2011-147627,2013-01-20,2013-01-26,Standard Class,1068.0,3,0.0,224.0,0.21
Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",Wirebound,Mark Van Huff,Los Angeles,California,West,United States,90049,CA-2011-148614,2013-01-20,2013-01-25,Standard Class,19.0,2,0.0,9.0,0.48
Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Eldon,Mark Van Huff,Los Angeles,California,West,United States,90049,CA-2011-148614,2013-01-20,2013-01-25,Standard Class,19.0,2,0.0,6.0,0.3
Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Eldon,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,14.0,1,0.0,4.0,0.29
Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Eldon,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,273.0,3,0.0,30.0,0.11
Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Acco,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,19.0,5,0.0,9.0,0.47
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Holmes,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,248.0,4,0.1,94.0,0.38
Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Fellowes,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,67.0,2,0.0,16.0,0.24
Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Panasonic,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,44.0,3,0.0,13.0,0.29
Furniture,Furnishings,Ultra Door Push Plate,Ultra,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,15.0,3,0.0,5.0,0.33
Office Supplies,Binders,Storex Dura Pro Binders,Storex,Xylona Preis,Westland,Michigan,Central,United States,48185,CA-2011-167927,2013-01-20,2013-01-26,Standard Class,30.0,5,0.0,13.0,0.45
Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,GBC,Muhammed MacIntyre,Smyrna,Tennessee,South,United States,37167,US-2011-147774,2013-01-20,2013-01-26,Standard Class,67.0,1,0.7,-52.0,-0.77
Furniture,Furnishings,Ultra Door Pull Handle,Ultra,Tom Boeckenhauer,Miami,Florida,South,United States,33180,CA-2011-110422,2013-01-21,2013-01-23,Second Class,25.0,3,0.2,4.0,0.16
Office Supplies,Paper,Xerox 195,Xerox,Ionia McGrath,Las Vegas,Nevada,West,United States,89115,CA-2011-102645,2013-01-23,2013-01-28,Standard Class,40.0,6,0.0,19.0,0.48
Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",Alliance,Speros Goranitis,Lafayette,Indiana,Central,United States,47905,CA-2011-146997,2013-01-23,2013-01-27,Standard Class,6.0,3,0.0,0.0,0.0
Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",GE,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,63.0,3,0.0,31.0,0.49
Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",SAFCO,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,490.0,8,0.0,0.0,0.0
Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Eureka,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,19.0,3,0.0,9.0,0.48
Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",REDIFORM,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,17.0,2,0.0,8.0,0.5
Technology,Phones,Macally Suction Cup Mount,Other,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,155.0,13,0.0,0.0,0.0
Furniture,Furnishings,Eldon Image Series Black Desk Accessories,Eldon,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,12.0,3,0.0,4.0,0.36
Technology,Phones,Jabra SPEAK 410,Jabra,Shirley Daniels,Alexandria,Virginia,South,United States,22304,US-2011-155502,2013-01-26,2013-01-31,Standard Class,188.0,2,0.0,53.0,0.28
Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Wilson Jones,Carol Adams,Rapid City,South Dakota,Central,United States,57701,CA-2011-167997,2013-01-26,2013-01-29,First Class,11.0,2,0.0,5.0,0.47
Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",SAFCO,Carol Adams,Rapid City,South Dakota,Central,United States,57701,CA-2011-167997,2013-01-26,2013-01-29,First Class,142.0,2,0.0,40.0,0.28
Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,Other,Ed Jacobs,San Diego,California,West,United States,92037,US-2011-117163,2013-01-27,2013-02-02,Standard Class,57.0,1,0.0,14.0,0.25
Furniture,Tables,Balt Split Level Computer Training Table,Balt,Ed Jacobs,San Diego,California,West,United States,92037,US-2011-117163,2013-01-27,2013-02-02,Standard Class,333.0,3,0.2,-17.0,-0.05
Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,Dixon,Ed Jacobs,San Diego,California,West,United States,92037,US-2011-117163,2013-01-27,2013-02-02,Standard Class,36.0,4,0.0,12.0,0.33
Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Pressboard,Jasper Cacioppo,New York City,New York,East,United States,10024,CA-2011-100328,2013-01-28,2013-02-03,Standard Class,4.0,1,0.2,1.0,0.34
Office Supplies,Paper,Xerox 1972,Xerox,Mike Vittorini,Detroit,Michigan,Central,United States,48234,CA-2011-134103,2013-01-30,2013-02-04,Standard Class,11.0,2,0.0,5.0,0.45
Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,Space Solutions,Mike Vittorini,Detroit,Michigan,Central,United States,48234,CA-2011-134103,2013-01-30,2013-02-04,Standard Class,230.0,2,0.0,7.0,0.03
Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",Sauder,Liz Carlisle,Mission Viejo,California,West,United States,92691,CA-2011-115161,2013-01-31,2013-02-02,First Class,291.0,2,0.15,3.0,0.01
Technology,Accessories,Enermax Aurora Lite Keyboard,Enermax,Bradley Drucker,Green Bay,Wisconsin,Central,United States,54302,CA-2011-140795,2013-02-01,2013-02-03,First Class,469.0,6,0.0,206.0,0.44
Office Supplies,Fasteners,Staples,Other,Cynthia Delaney,San Diego,California,West,United States,92037,CA-2011-139857,2013-02-02,2013-02-06,Standard Class,12.0,5,0.0,6.0,0.47
Office Supplies,Binders,Surelock Post Binders,Other,Eric Barreto,Saint Petersburg,Florida,South,United States,33710,CA-2011-123400,2013-02-02,2013-02-09,Standard Class,18.0,2,0.7,-12.0,-0.67
Technology,Phones,AT&T 17929 Lendline Telephone,AT&T,Eric Barreto,Saint Petersburg,Florida,South,United States,33710,CA-2011-123400,2013-02-02,2013-02-09,Standard Class,181.0,5,0.2,14.0,0.08
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,Ibico,Tom Boeckenhauer,Seattle,Washington,West,United States,98105,CA-2011-111059,2013-02-03,2013-02-06,Second Class,84.0,2,0.2,27.0,0.33
Office Supplies,Binders,Avery Durable Poly Binders,Avery,Tom Boeckenhauer,Seattle,Washington,West,United States,98105,CA-2011-111059,2013-02-03,2013-02-06,Second Class,13.0,3,0.2,4.0,0.33
Office Supplies,Binders,GBC Recycled Grain Textured Covers,GBC,Deborah Brumfield,San Diego,California,West,United States,92024,CA-2011-107181,2013-02-04,2013-02-08,Standard Class,83.0,3,0.2,29.0,0.35
Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Message Book,Deborah Brumfield,San Diego,California,West,United States,92024,CA-2011-107181,2013-02-04,2013-02-08,Standard Class,34.0,4,0.0,16.0,0.47
Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",GBC,Mark Haberlin,Escondido,California,West,United States,92025,CA-2011-104808,2013-02-04,2013-02-08,Second Class,17.0,2,0.2,6.0,0.35
Office Supplies,Labels,Avery 480,Avery,Neil Ducich,Chesapeake,Virginia,South,United States,23320,CA-2011-131905,2013-02-06,2013-02-09,First Class,15.0,4,0.0,7.0,0.48
Technology,Phones,Aastra 57i VoIP phone,Other,Neil Ducich,Chesapeake,Virginia,South,United States,23320,CA-2011-131905,2013-02-06,2013-02-09,First Class,162.0,1,0.0,42.0,0.26
Technology,Phones,AT&T CL82213,AT&T,Neil Ducich,Chesapeake,Virginia,South,United States,23320,CA-2011-131905,2013-02-06,2013-02-09,First Class,145.0,5,0.0,42.0,0.29
Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",Avery,Delfina Latchford,Romeoville,Illinois,Central,United States,60441,CA-2011-108182,2013-02-06,2013-02-10,Second Class,9.0,2,0.8,-15.0,-1.65
Technology,Accessories,Maxell DVD-RAM Discs,Maxell,Cyma Kinney,Linden,New Jersey,East,United States,7036,CA-2011-107755,2013-02-07,2013-02-12,Standard Class,115.0,7,0.0,50.0,0.43
Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,Acco,Chris Selesnick,New York City,New York,East,United States,10024,US-2011-169390,2013-02-07,2013-02-10,Second Class,65.0,4,0.0,10.0,0.15
Furniture,Furnishings,"Master Caster Door Stop, Large Brown",Master Caster,Nathan Mautz,North Las Vegas,Nevada,West,United States,89031,CA-2011-125759,2013-02-08,2013-02-09,First Class,15.0,2,0.0,6.0,0.38
Technology,Accessories,Enermax Aurora Lite Keyboard,Enermax,Natalie Fritzler,Chesapeake,Virginia,South,United States,23320,CA-2011-127614,2013-02-11,2013-02-15,Standard Class,234.0,3,0.0,103.0,0.44
Furniture,Tables,Hon 2111 Invitation Series Corner Table,Hon,Natalie Fritzler,Chesapeake,Virginia,South,United States,23320,CA-2011-127614,2013-02-11,2013-02-15,Standard Class,1256.0,6,0.0,75.0,0.06
Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Wilson Jones,Natalie Fritzler,Chesapeake,Virginia,South,United States,23320,CA-2011-127614,2013-02-11,2013-02-15,Standard Class,17.0,2,0.0,8.0,0.47
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Global,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,61.0,1,0.0,15.0,0.25
Office Supplies,Labels,Avery 483,Avery,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,15.0,3,0.0,7.0,0.46
Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Wilson Jones,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,10.0,2,0.0,4.0,0.46
Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Other,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,333.0,3,0.0,53.0,0.16
Office Supplies,Binders,VariCap6 Expandable Binder,Other,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,52.0,3,0.0,24.0,0.47
Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,Fellowes,Guy Armstrong,Columbia,Missouri,Central,United States,65203,CA-2011-168368,2013-02-11,2013-02-15,Second Class,65.0,2,0.0,3.0,0.04
Furniture,Chairs,"Global Geo Office Task Chair, Gray",Global,Sanjit Chand,Concord,California,West,United States,94521,US-2011-110674,2013-02-12,2013-02-18,Standard Class,130.0,2,0.2,-24.0,-0.19
Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Other,Shui Tom,Houston,Texas,Central,United States,77095,CA-2011-107706,2013-02-14,2013-02-19,Second Class,16.0,3,0.2,6.0,0.38
Technology,Accessories,Logitech G600 MMO Gaming Mouse,Logitech,Marina Lichtenstein,Seattle,Washington,West,United States,98103,CA-2011-121762,2013-02-14,2013-02-18,Standard Class,240.0,3,0.0,86.0,0.36
Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Belkin,Marina Lichtenstein,Seattle,Washington,West,United States,98103,CA-2011-121762,2013-02-14,2013-02-18,Standard Class,82.0,2,0.0,23.0,0.28
Office Supplies,Supplies,Compact Automatic Electric Letter Opener,Other,Marina Lichtenstein,Seattle,Washington,West,United States,98103,CA-2011-121762,2013-02-14,2013-02-18,Standard Class,239.0,2,0.0,5.0,0.02
Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,Pressboard,Barry Französisch,Seattle,Washington,West,United States,98105,CA-2011-165568,2013-02-15,2013-02-19,Standard Class,21.0,5,0.2,7.0,0.34
Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,Wilson Jones,Michael Nguyen,Dallas,Texas,Central,United States,75220,CA-2011-122567,2013-02-16,2013-02-21,Standard Class,1.0,3,0.8,-2.0,-1.6
Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Holmes,Michael Nguyen,Dallas,Texas,Central,United States,75220,CA-2011-122567,2013-02-16,2013-02-21,Standard Class,8.0,2,0.8,-14.0,-1.75
Office Supplies,Art,Staples in misc. colors,Staples in misc. colors,Delfina Latchford,Chicago,Illinois,Central,United States,60653,CA-2011-154165,2013-02-17,2013-02-24,Standard Class,54.0,14,0.2,9.0,0.16
Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",DAX,Troy Blackwell,Lubbock,Texas,Central,United States,79424,US-2011-165589,2013-02-18,2013-02-18,Same Day,25.0,5,0.6,-11.0,-0.45
Office Supplies,Storage,Akro Stacking Bins,Akro,Aaron Bergman,Arlington,Texas,Central,United States,76017,CA-2011-152905,2013-02-18,2013-02-24,Standard Class,13.0,2,0.2,-3.0,-0.2
Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Enermax,Linda Cazamias,Richmond,Indiana,Central,United States,47374,CA-2011-109491,2013-02-20,2013-02-26,Standard Class,62.0,3,0.0,22.0,0.36
Furniture,Furnishings,"Master Caster Door Stop, Brown",Master Caster,Linda Cazamias,Richmond,Indiana,Central,United States,47374,CA-2011-109491,2013-02-20,2013-02-26,Standard Class,20.0,4,0.0,7.0,0.34
Office Supplies,Paper,Xerox 204,Xerox,Steven Roelle,Los Angeles,California,West,United States,90049,CA-2011-164903,2013-02-20,2013-02-24,Standard Class,13.0,2,0.0,6.0,0.48
Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,GBC,Tamara Manning,Woodstock,Illinois,Central,United States,60098,CA-2011-165540,2013-02-21,2013-02-25,Standard Class,9.0,5,0.8,-14.0,-1.55
Office Supplies,Paper,Xerox 220,Xerox,Sue Ann Reed,Moreno Valley,California,West,United States,92553,CA-2011-133354,2013-02-22,2013-02-24,First Class,19.0,3,0.0,9.0,0.48
Office Supplies,Labels,Staple-on labels,Staple-on labels,Michael Grace,El Paso,Texas,Central,United States,79907,CA-2011-103744,2013-02-23,2013-02-27,Standard Class,7.0,3,0.2,2.0,0.34
Office Supplies,Binders,GBC Plastic Binding Combs,GBC,Michael Grace,El Paso,Texas,Central,United States,79907,CA-2011-103744,2013-02-23,2013-02-27,Standard Class,4.0,3,0.8,-7.0,-1.55
Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Message Book,Jennifer Halladay,Medford,Oregon,West,United States,97504,US-2011-137680,2013-02-24,2013-03-02,Standard Class,33.0,4,0.2,11.0,0.34
Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",TOPS,Jennifer Halladay,Medford,Oregon,West,United States,97504,US-2011-137680,2013-02-24,2013-03-02,Standard Class,23.0,3,0.2,8.0,0.34
